values,Centroid_Longitude,Centroid_Latitude,km,mpa_id,oceanmpa.trend_mean.8.5N
0.078999996,-152.3992566,57.83501495,4.671354685,7555,0.034016121
1.646999359,-152.3893,-10.0948,3.705296881,6040,0.029107755
2.06799984,-152.3500145,54.90000764,3.207782035,8550,0.033918291
0.884999752,-152.1092962,60.74300467,5.328229206,4240,0.035935689
0.574000359,-151.9872511,60.3772017,1.608225564,4239,0.035556711
1.179999828,-151.7780995,60.97785247,4.345874063,4057,0.035556711
-0.453000069,-151.6547353,59.56768468,3.343725928,4229,0.035639264
-0.453000069,-151.638957,59.56649413,2.871134222,8454,0.035639264
1.455999851,-151.5599279,60.12447713,1.013016078,4223,0.035556711
0.588999748,-151.5541222,60.34242943,3.685219094,7548,0.035556711
-0.768000126,-151.4254311,59.18964984,2.796988419,7549,0.035639264
1.382999897,-150.9241937,59.7925775,1.912776105,4227,0.032898791
1.755000114,-150.5373785,61.31392869,2.486666061,4058,0.03356614
0.622000217,-150.0009879,61.10343603,3.243593905,4241,0.03356614
0.750999928,-149.9260532,61.39051806,3.220589616,1560,0.033189468
-1.021000385,-149.4531201,59.84129746,3.758179879,7563,0.032398947
-1.09400034,-149.3452922,59.90244852,3.473650327,1929,0.032398947
-0.563000202,-149.3242115,59.93858961,2.84618793,1931,0.032398947
0.882999897,-149.3008324,60.0039921,4.219387937,5239,0.032696351
-1.042000294,-149.2571297,59.91277854,4.622029528,1930,0.032398947
-0.907999992,-149.2234871,59.98192735,2.756343098,1932,0.032398947
-0.179999828,-148.4678274,60.80009094,1.069572537,1927,0.032374613
-0.179999828,-148.4639637,60.80157216,1.143641894,5304,0.032374613
-0.427999973,-148.3872763,60.75682174,3.9308128,1934,0.032374613
-0.427999973,-148.3636162,60.80482368,1.588646483,1928,0.032374613
-0.020999908,-148.3183749,60.95973225,1.450026084,1935,0.032374613
-0.114999771,-148.3167947,60.83587905,4.557260423,5240,0.032374613
-0.376999855,-148.0730918,60.79765433,1.830583678,1936,0.032374613
0.782999992,-148.0728425,60.88824126,2.239468439,1926,0.032374613
-0.954999924,-148.0245151,59.47126189,1.734248931,7547,0.032035701
-0.318000317,-147.941838,60.0321664,1.397804086,5305,0.032163572
-0.318000317,-147.9326909,60.02919401,1.9874534,1937,0.032163572
-0.951000214,-146.9202903,60.41111655,4.52785721,7539,0.032041974
-0.965000153,-146.8983742,60.41150153,4.257676049,7538,0.032041974
-0.988999367,-146.8659622,60.17713828,3.503867373,7543,0.032041974
-0.503000259,-146.7826662,61.07305456,3.5242938,1938,0.032724213
-0.582000256,-146.6121344,61.1316436,1.011914131,2394,0.032724213
1.086999893,-146.5646075,61.03063188,3.475570521,1925,0.032724213
-0.963999748,-146.5519833,60.22935513,2.406589928,7546,0.032041974
-0.86000061,-146.5390244,60.49869141,4.490619228,7544,0.032041974
